,Mean_of_Stdev,Stdev_of_Stdev,3rd_Stdev_of_Stdev,Final_Cutoff
ABCC2,0.49809057250654254,0.0992665525767952,0.29779965773038564,0.7958902302369282
ABCC3,0.6709532390172885,0.15356726996339476,0.4607018098901843,1.1316550489074728
ABCD1,1.7723125640741453,0.1862251899756958,0.5586755699270873,2.330988134001233
ABCD3,1.045224538155207,0.1860982990073569,0.5582948970220707,1.6035194351772777
ABCE1,0.661840481677691,0.1441427713979665,0.4324283141938995,1.0942687958715904
ABCF1,1.1167911310607013,0.17481824654760314,0.5244547396428094,1.6412458707035107
ABCF3,0.8753205362718594,0.22083789244847066,0.662513677345412,1.5378342136172714
ABCG1,0.4940240082927798,0.1344021188366786,0.4032063565100358,0.8972303648028156
ABCG4,1.1608996483698821,0.18655928772320193,0.5596778631696058,1.720577511539488
ABCG8,0.5928770098474383,0.046807997665862494,0.14042399299758748,0.7333010028450258
ABHD1,2.32798809902269,0.16206325847027508,0.48618977541082525,2.8141778744335153
ABHD10,0.7435713824895948,0.16922018986256618,0.5076605695876986,1.2512319520772932
ABHD12B,1.6304595608520323,0.33755223118480754,1.0126566935544226,2.643116254406455
ABHD13,1.2199498589007027,0.1179562310081282,0.3538686930243846,1.5738185519250874
ABHD14A,0.8468945190416095,0.1664375660354415,0.4993126981063245,1.346207217147934
ABHD14A-ACY1,0.8468945190416095,0.1664375660354415,0.4993126981063245,1.346207217147934
ABHD14B,2.9629382584137023,0.10481769617440874,0.31445308852322623,3.2773913469369287
ABHD16B,2.062442725832233,0.4471399275581847,1.3414197826745542,3.403862508506787
ABHD17A,0.4181983628149278,0.17388238144201804,0.5216471443260541,0.9398455071409819
ABHD17C,0.4760079990868318,0.29520731203575573,0.8856219361072672,1.361629935194099
ABHD18,1.0024576797227822,0.1628255530282215,0.4884766590846645,1.4909343388074467
ABHD2,0.9244513435130766,0.13469400420340197,0.40408201261020593,1.3285333561232826
ABHD4,1.6736179408306637,0.14962070375430833,0.44886211126292497,2.1224800520935885
ABHD5,0.936534883649441,0.1391057899735166,0.4173173699205498,1.3538522535699908
ABHD6,1.0009342854208427,0.15590342977425595,0.4677102893227678,1.4686445747436105
ABI2,0.9326510729140666,0.21474347722395845,0.6442304316718753,1.576881504585942
ABI3,0.6425117614855973,0.08552680131284239,0.25658040393852716,0.8990921654241244
ABITRAM,1.0652282665365984,0.1620522699632915,0.48615680988987453,1.551385076426473
ABL1,1.2771072203496119,0.3023931084472987,0.9071793253418962,2.184286545691508
ABLIM3,0.8737563852383983,0.18710249719198735,0.561307491575962,1.4350638768143602
ABRACL,0.8399512119897466,0.19439433651425375,0.5831830095427613,1.423134221532508
ABRAXAS2,1.121686446629721,0.1874352827322782,0.5623058481968346,1.6839922948265555
ABT1,0.8847606213396352,0.3546032693119948,1.0638098079359843,1.9485704292756196
ABTB1,0.7036725377555185,0.2355252066148283,0.7065756198444848,1.4102481576000034
ACAA1,0.6896622904843699,0.09888586462374913,0.29665759387124735,0.9863198843556172
ACACB,0.4113198241516363,0.0836003228647137,0.2508009685941411,0.6621207927457774
ACAD10,0.6119783354270021,0.10816475076370966,0.32449425229112894,0.936472587718131
ACAD8,1.189476464157044,0.1767805591640368,0.5303416774921104,1.7198181416491543
ACAD9,1.069980693275745,0.21855698986668948,0.6556709696000684,1.7256516628758134
ACADM,0.806670894950485,0.17277910870272825,0.5183373261081847,1.3250082210586698
ACADS,0.7808736418338225,0.1746326621480254,0.5238979864440761,1.3047716282778987
ACADSB,0.9157187155436147,0.13981117150046057,0.4194335145013817,1.3351522300449965
ACADVL,0.6019886558613371,0.1821589719698873,0.546476915909662,1.148465571770999
ACAN,0.8761621767425448,0.1350358223537383,0.40510746706121487,1.2812696438037596
ACAP1,0.9783388661757704,0.09973744967206892,0.29921234901620675,1.277551215191977
ACAP3,1.181174654684199,0.25319490045276716,0.7595847013583015,1.9407593560425005
ACAT1,1.414151817161958,0.12239492034967552,0.36718476104902653,1.7813365782109845
ACAT2,0.9744375536080097,0.16950544331106343,0.5085163299331903,1.4829538835412
ACBD4,0.5281462577024435,0.0830494215759391,0.24914826472781731,0.7772945224302608
ACCS,0.8661537267467658,0.1960348329526087,0.5881044988578261,1.454258225604592
ACE,1.1505645432500966,0.18252133571656046,0.5475640071496813,1.6981285503997778
ACER2,0.8797271502616527,0.2008598157328309,0.6025794471984927,1.4823065974601453
ACER3,0.6959208346725873,0.20460231939822804,0.6138069581946841,1.3097277928672715
ACHE,0.7649526522152769,0.19765290899084945,0.5929587269725484,1.3579113791878252
ACIN1,1.1394432458156114,0.2759915073790567,0.8279745221371702,1.9674177679527816
ACKR1,0.7219438840891488,0.10992567629817578,0.3297770288945273,1.0517209129836762
ACKR2,1.2078521415164876,0.14546942493579648,0.4364082748073894,1.644260416323877
ACKR3,1.5460638535711413,0.16610388614368976,0.4983116584310693,2.0443755120022105
ACO1,0.7696598016937761,0.22963965601881334,0.68891896805644,1.4585787697502162
ACO2,0.7037250074202094,0.10112332732958716,0.3033699819887615,1.007094989408971
ACOT1,1.146920945772815,0.40228483299240214,1.2068544989772065,2.3537754447500214
ACOT11,2.183642547387438,0.7424082712902524,2.227224813870757,4.410867361258195
ACOT13,0.9037769787274604,0.12783214020714626,0.38349642062143874,1.2872733993488992
ACOT4,0.728103507582501,0.2206573874909672,0.6619721624729016,1.3900756700554027
ACOT8,0.46865593710649556,0.12612012997019362,0.37836038991058085,0.8470163270170764
ACOX1,0.5575253086111686,0.16519065125026566,0.495571953750797,1.0530972623619657
ACOX3,0.318993234376726,0.10080902247367735,0.30242706742103204,0.621420301797758
ACOXL,0.6821397378043635,0.13762263381613418,0.4128679014484026,1.0950076392527661
ACP1,0.9162226220945048,0.1672835879385404,0.5018507638156212,1.418073385910126
ACP4,0.9155481459652002,0.2642857573314798,0.7928572719944393,1.7084054179596395
ACP7,1.078118500364523,0.11763651599062004,0.35290954797186014,1.4310280483363833
ACR,0.5088802606431035,0.0720187672623509,0.2160563017870527,0.7249365624301563
ACRBP,0.47698485627508524,0.11032214067720619,0.3309664220316186,0.8079512783067038
ACSBG2,0.695972131377873,0.15250279556251323,0.4575083866875397,1.1534805180654126
ACSF2,1.3486362018683598,0.1661108147541328,0.4983324442623984,1.8469686461307582
ACSF3,1.0572009186912852,0.22093224291422423,0.6627967287426727,1.7199976474339578
ACSL3,1.090012721193115,0.19733269522597074,0.5919980856779122,1.6820108068710273
ACSL5,0.8718566270744915,0.19077189743896208,0.5723156923168863,1.4441723193913778
ACSM3,0.8818644850735271,0.12404431763599984,0.3721329529079995,1.2539974379815266
ACSM4,0.39138642980856736,0.0911241173641502,0.2733723520924506,0.6647587819010179
ACSM5,0.544555365785529,0.30416449042608246,0.9124934712782473,1.4570488370637764
ACSS2,1.543860426304163,0.13734907556871243,0.41204722670613725,1.9559076530103003
ACSS3,2.6217162829490075,0.22513192930488635,0.675395787914659,3.2971120708636663
ACTA1,1.6233546070351617,0.12219705564656844,0.3665911669397053,1.989945773974867
ACTA2-AS1,0.6846223715041334,0.10253211745809145,0.30759635237427435,0.9922187238784077
ACTG1,0.7645627805869203,0.07820337552207357,0.2346101265662207,0.999172907153141
ACTG2,0.42204176080335604,0.07052635921375777,0.21157907764127332,0.6336208384446294
ACTL10,1.7840711807896503,0.17422532346503045,0.5226759703950914,2.3067471511847417
ACTL6A,1.9337870243151207,0.12484613254711072,0.3745383976413321,2.308325421956453
ACTL6B,0.7963825250066968,0.12842416612723873,0.3852724983817162,1.181655023388413
ACTL7A,0.6113738369392526,0.15756480660467764,0.47269441981403293,1.0840682567532856
ACTL7B,2.952499937406674,0.3496232920948745,1.0488698762846236,4.001369813691298
ACTL8,2.339250573559343,0.3435576820222637,1.0306730460667912,3.3699236196261344
ACTN1-AS1,0.8860676661640696,0.1672724888111734,0.5018174664335202,1.3878851325975898
ACTN2,0.9584491826958434,0.12701700330635085,0.38105100991905255,1.339500192614896
ACTN3,0.8576385830862792,0.156964851657265,0.470894554971795,1.328533138058074
ACTN4,0.8192770467093375,0.21098751721768347,0.6329625516530504,1.452239598362388
ACTR10,0.8310267090010259,0.15614336762316772,0.46843010286950315,1.2994568118705292
ACTR2,0.8496298215576618,0.1436049407162006,0.43081482214860184,1.2804446437062635
ACTR3,0.9288129285608633,0.13381042636545853,0.4014312790963756,1.330244207657239
ACTR3-AS1,0.5498927638640008,0.2236625931917604,0.6709877795752812,1.220880543439282
ACTR3B,0.6162259429854621,0.10710723885038506,0.32132171655115516,0.9375476595366172
ACTR5,0.5162428533865652,0.11274115036005802,0.33822345108017404,0.8544663044667392
ACTR6,0.8197722664731648,0.16263579540739778,0.4879073862221933,1.307679652695358
ACTRT2,1.454522997986416,0.11986546249246753,0.3595963874774026,1.8141193854638187
ACVR1,0.5114787660088942,0.20580331242171263,0.6174099372651378,1.128888703274032
ACVR1B,0.854850035083508,0.16808044665075264,0.504241339952258,1.3590913750357658
ACVR2A,0.9978329619587857,0.12361808100665715,0.37085424301997144,1.368687204978757
ACVR2B,1.0262341087064215,0.2100533864105305,0.6301601592315915,1.656394267938013
ACVRL1,1.74323124282376,0.2002288083838326,0.6006864251514978,2.3439176679752576
ACY1,2.2677127663824495,0.23458470931620684,0.7037541279486206,2.97146689433107
ACYP2,1.2848025116528579,0.15520387411555872,0.4656116223466762,1.750414133999534
ADAD1,1.091058187480254,0.18828375440832873,0.5648512632249862,1.6559094507052403
ADAD2,1.8884280592034353,0.270092801461724,0.810278404385172,2.698706463588607
ADAL,0.8872391870197147,0.17147583730463392,0.5144275119139018,1.4016666989336164
ADAM11,1.3343307011727583,0.2078466910431112,0.6235400731293337,1.957870774302092
ADAM15,1.0358819945667441,0.19970296483949831,0.5991088945184949,1.634990889085239
ADAM18,1.8006004425569022,0.27287796924544194,0.8186339077363258,2.619234350293228
ADAM22,1.2159513891320899,0.14341603307322,0.43024809921966,1.64619948835175
